country,region,subregion,pop2023,growthRate,area,landAreaKm,density,densityMi,Rank,happiness2021,happiness2020,scoreDifference,rank
Spain,Europe,Southern Europe,47519628.00,-0.00082,505992,499556.6,951236.00,2463702.00,32,6.491,6.401,0.09,27
Italy,Europe,Southern Europe,58870762.00,-0.00282,301336,295717,199078.00,5156121.00,25,6.483,6.387,0.096,28
Slovenia,Europe,Southern Europe,2119675.00,-0.00008,20273,20136.4,1052658.00,2726385.00,149,6.461,6.363,0.098,29
Guatemala,North America,"Central America, Latin America",18092026.00,0.01391,108889,107160,1688319.00,4372746.00,70,6.435,6.399,0.036,30
Uruguay,South America,"South America, Latin America",3423108.00,0.00009,181034,175020,195584.00,506562.00,135,6.431,6.44,-0.009,31
Singapore,Asia,South-Eastern Asia,6014723.00,0.00653,710,718,83770515.00,216965635.00,114,6.377,6.377,0,32
Slovakia,Europe,Eastern Europe,5795199.00,0.02689,49037,49035,1181849.00,306099.00,116,6.331,6.281,0.05,33
Brazil,South America,"South America, Latin America",216422446.00,0.00515,8515767,8358140,258936.00,670645.00,7,6.33,6.376,-0.046,34
Mexico,North America,"Central America, Latin America",128455567.00,0.00746,1964375,1943950,660797.00,1711463.00,10,6.317,6.465,-0.148,35
Jamaica,North America,Caribbean,2825544.00,-0.00065,10991,10830,2608997.00,6757303.00,139,6.309,5.89,0.419,36
Lithuania,Europe,Northern Europe,2718352.00,-0.01153,65300,62620,434103.00,1124326.00,142,6.255,6.215,0.04,37
Cyprus,Europe,"Eastern Europe, The Middle East",1260138.00,0.00691,9251,9240,1363786.00,3532205.00,158,6.223,6.159,0.064,38
Estonia,Europe,Northern Europe,1322765.00,-0.00249,45227,42750,309419.00,801394.00,156,6.189,6.022,0.167,39
Panama,North America,"Central America, Latin America",4468087.00,0.0135,75417,74180,60233.00,1560036.00,128,6.18,6.305,-0.125,40
Uzbekistan,Asia,"Central Asia, South Central Asia",35163944.00,0.01549,447400,440650,798002.00,2066824.00,43,6.179,6.258,-0.079,41
Chile,South America,"South America, Latin America",19629590.00,0.00132,756102,743532,264005.00,683772.00,65,6.172,6.228,-0.056,42
Poland,Europe,Eastern Europe,41026067.00,0.02933,312679,306130,1340152.00,3470993.00,37,6.166,6.186,-0.02,43
Kazakhstan,Asia,Central Asia,19606633.00,0.01076,2724900,2699700,72625.00,188099.00,66,6.152,6.058,0.094,44
Romania,Europe,Eastern Europe,19892812.00,0.01188,238391,230080,864604.00,2239325.00,64,6.14,6.124,0.016,45
Kuwait,Asia,"Western Asia, The Middle East",4310108.00,0.00966,17818,17820,2418691.00,6264411.00,129,6.106,6.102,0.004,46
Serbia,Europe,Southern Europe,7149077.00,-0.01001,88361,87460,817411.00,2117095.00,105,6.078,5.778,0.3,47
El Salvador,North America,"Central America, Latin America",6364943.00,0.00451,21041,20720,3071884.00,7956179.00,112,6.061,6.348,-0.287,48
Mauritius,Africa,"Eastern Africa, Sub-Saharan Africa",1300557.00,0.00084,2040,2030,6406685.00,16593313.00,157,6.049,6.101,-0.052,49
Latvia,Europe,Northern Europe,1830211.00,-0.01105,64559,62230,294104.00,76173.00,151,6.032,5.95,0.082,50
Colombia,South America,"South America, Latin America",52085168.00,0.00407,1141748,1109500,469447.00,1215868.00,28,6.012,6.163,-0.151,51
Hungary,Europe,Eastern Europe,10156239.00,0.01896,93028,91260,1112891.00,2882386.00,94,5.992,6,-0.008,52
Thailand,Asia,South-Eastern Asia,71801279.00,0.00145,513120,510890,1405416.00,3640026.00,20,5.985,5.999,-0.014,53
Nicaragua,North America,"Central America, Latin America",7046310.00,0.01409,130373,120340,585533.00,1516532.00,106,5.972,6.137,-0.165,54
Japan,Asia,Eastern Asia,123294513.00,-0.0053,377930,364500,3382566.00,8760845.00,12,5.94,5.871,0.069,55
Argentina,South America,"South America, Latin America",45773884.00,0.00579,2780400,2736690,16726.00,433203.00,33,5.929,5.975,-0.046,56
Portugal,Europe,Southern Europe,10247605.00,-0.00227,92090,91605.6,1118666.00,2897344.00,93,5.929,5.911,0.018,57
Honduras,North America,"Central America, Latin America",10593798.00,0.01543,112492,111890,946805.00,2452224.00,88,5.919,5.953,-0.034,58
Croatia,Europe,Southern Europe,4008617.00,-0.00539,56594,55960,716336.00,1855311.00,130,5.882,5.505,0.377,59
Philippines,Asia,South-Eastern Asia,117337368.00,0.01539,342353,298170,3935251.00,10192299.00,13,5.88,6.006,-0.126,60
South Korea,Asia,Eastern Asia,51784059.00,-0.00061,100210,97600,5305744.00,13741876.00,29,5.845,5.872,-0.027,61
Peru,South America,"South America, Latin America",34352719.00,0.0089,1285216,1280000,268381.00,695106.00,45,5.84,5.797,0.043,62
Bosnia and Herzegovina,Europe,Southern Europe,3210847.00,-0.00701,51209,51200,627119.00,1624237.00,137,5.813,5.674,0.139,63
Moldova,Europe,Eastern Europe,3435931.00,0.04978,33846,32884.6,1044845.00,2706149.00,134,5.766,5.608,0.158,64
